Package,Version
Bottleneck,1.6.0
ElegantRL,0.3.10
Farama-Notifications,0.0.6
Jinja2,3.1.6
Markdown,3.10.2
MarkupSafe,3.0.3
PyMySQL,1.1.3
PySocks,1.7.1
PyYAML,6.0.1
Pygments,2.20.0
SQLAlchemy,2.0.49
Werkzeug,3.1.8
absl-py,2.4.0
aiodns,4.0.0
aiohappyeyeballs,2.6.1
aiohttp,3.13.5
aiohttp-cors,0.8.1
aiosignal,1.4.0
ale-py,0.11.2
alpaca-py,0.37.0
alpaca-trade-api,3.2.0
annotated-types,0.7.0
asttokens,3.0.1
async-timeout,5.0.1
attrs,26.1.0
beautifulsoup4,4.14.3
ccxt,3.1.60
certifi,2026.4.22
cffi,2.0.0
charset-normalizer,3.4.7
clarabel,0.11.1
click,8.3.3
cloudpickle,3.1.2
colorama,0.4.6
colorful,0.5.8
comm,0.2.3
contourpy,1.3.2
cryptography,48.0.0
curl_cffi,0.15.0
cvxpy,1.7.5
cycler,0.12.1
debugpy,1.8.20
decorator,5.2.1
deprecation,2.1.0
distlib,0.4.0
empyrical-reloaded,0.5.12
exceptiongroup,1.3.1
exchange_calendars,4.13.2
executing,2.2.1
filelock,3.29.0
finrl,0.3.8
fonttools,4.62.1
frozendict,2.4.7
frozenlist,1.8.0
fsspec,2026.4.0
google-api-core,2.30.3
google-auth,2.52.0
googleapis-common-protos,1.75.0
greenlet,3.5.0
grpcio,1.80.0
gymnasium,1.3.0
h11,0.16.0
idna,3.15
importlib_metadata,8.7.1
ipykernel,7.2.0
ipython,8.39.0
jedi,0.20.0
joblib,1.5.3
jqdatasdk,1.9.8
jsonschema,4.26.0
jsonschema-specifications,2025.9.1
jupyter_client,8.8.0
jupyter_core,5.9.1
kiwisolver,1.5.0
korean-lunar-calendar,0.3.1
llvmlite,0.47.0
markdown-it-py,4.2.0
matplotlib,3.10.9
matplotlib-inline,0.2.2
mdurl,0.1.2
mpmath,1.3.0
msgpack,1.0.3
multidict,6.7.1
multitasking,0.0.13
nest-asyncio,1.6.0
networkx,3.4.2
niltype,1.0.2
numba,0.65.1
numpy,2.2.6
opencensus,0.11.4
opencensus-context,0.1.3
opencv-python,4.13.0.92
opentelemetry-api,1.41.1
opentelemetry-exporter-prometheus,0.62b1
opentelemetry-proto,1.41.1
opentelemetry-sdk,1.41.1
opentelemetry-semantic-conventions,0.62b1
osqp,1.1.1
outcome,1.3.0.post0
packaging,26.0
pandas,2.2.3
pandas_market_calendars,5.3.2
parso,0.8.7
peewee,3.17.3
pillow,12.2.0
pip,26.0.1
platformdirs,4.9.6
plotly,4.4.1
ply,3.11
prometheus_client,0.25.0
prompt_toolkit,3.0.52
propcache,0.5.2
proto-plus,1.28.0
protobuf,6.33.6
psutil,7.2.2
psycopg2-binary,2.9.12
pure_eval,0.2.3
py-spy,0.4.2
pyarrow,24.0.0
pyasn1,0.6.3
pyasn1_modules,0.4.2
pycares,5.0.1
pycparser,3.0
pydantic,2.13.4
pydantic_core,2.46.4
pyfolio-reloaded,0.9.9
pygame-ce,2.5.7
pyluach,2.3.0
pyparsing,3.3.2
pyportfolioopt,1.6.0
python-dateutil,2.9.0.post0
python-discovery,1.3.1
python-dotenv,1.2.2
pytz,2026.2
pyzmq,27.1.0
ray,2.55.1
referencing,0.37.0
requests,2.34.0
retrying,1.4.2
rich,15.0.0
rpds-py,0.30.0
rpy2,3.6.7
rpy2-rinterface,3.6.6
rpy2-robjects,3.6.5
scikit-base,0.13.2
scikit-learn,1.7.2
scipy,1.15.3
scs,3.2.11
seaborn,0.13.2
selenium,4.32.0
setuptools,81.0.0
shap,0.49.1
six,1.17.0
slicer,0.0.8
smart_open,7.6.1
sniffio,1.3.1
sortedcontainers,2.4.0
soupsieve,2.8.3
sseclient-py,1.9.0
stable_baselines3,2.9.0a2
stack-data,0.6.3
stockstats,0.5.4
sympy,1.14.0
tensorboard,2.20.0
tensorboard-data-server,0.7.2
tensorboardX,2.6.5
th,0.4.1
threadpoolctl,3.6.0
thriftpy2,0.4.20
toolz,1.1.0
torch,2.12.0
tornado,6.5.5
tqdm,4.67.3
traitlets,5.15.0
trio,0.33.0
trio-websocket,0.12.2
typing-inspection,0.4.2
typing_extensions,4.15.0
tzdata,2026.2
tzlocal,5.3.1
urllib3,1.26.20
virtualenv,21.3.3
wcwidth,0.7.0
webdriver-manager,4.0.2
websocket-client,1.9.0
websockets,10.4
wheel,0.46.3
wrapt,2.1.2
wrds,3.5.0
wsproto,1.3.2
yarl,1.23.0
yfinance,0.2.58
zipp,3.23.1
